CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,,,,,
113.260,RESPOND / Incident Management / Response Plan Execution,RS.MA-01.01,Response plan execution,"RS.MA-01.01: The organization's response plans are in place and executed during or after an incident, to include coordination with relevant third parties and engagement of third-party incident support services.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The organization should have incident response policies and plans that properly work in concert with business continuity plans and should execute such plans during or after identifying an incident. 
Responses should describe how the organization’s response plans are established, maintained, and executed during or after an incident, including coordination with relevant third parties and engagement of third-party incident support services. Provide information on the structure and process.
Refer to ID.IM-04.08, how the organization’s response plans are updated and improved based on cyber threat intelligence and lessons learned.","EEE-070: Incident Management and Forensic Training Documents
EEE-088: Incident Management Role and Training Documentation
EEE-092: Business Continuity Strategy and Exercises Documentation",#forensics | #incident_management | #root_cause_analysis
114.261,RESPOND / Incident Management / Incident Triage & Validation,RS.MA-02.01,Reliable event detection and analysis,"RS.MA-02.01: Tools and processes are in place to ensure timely detection, inspection, assessment, and analysis of security event data for reliable activation of incident response processes.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The most effective way to detect and prevent network compromise and data breaches is through early recognition and investigation of potentially suspicious network activity. The organization may use active and/or passive monitoring tools and processes to detect any deviations from normal or expected operations (i.e., network-monitoring software, logging, detection solutions, etc.). 
Responses should describe the tools and processes that are in place to ensure timely detection, inspection, assessment, and analysis of the security event data for reliable activation of incident response processes.","EEE-022: Incident Management, Response Framework and Performance Documentation
EEE-044: Security Incident and Event Management Documentation",#incident_management | #security_logging_monitoring_and_alerting
115.262,RESPOND / Incident Management / Incident Categorization & Prioritization,RS.MA-03.01,Incident response prioritization,RS.MA-03.01: The organization categorizes and prioritizes cybersecurity incident response consistent with response plans and criticality of systems and services to the enterprise.,Yes,Yes,Yes,Yes,To Be Assessed,,,"The incident response plan should include appropriate steps for assessing the root cause of the incident, and whether it includes appropriate guidance for performing analysis and for determining management’s actions and operational steps that would minimize the relative impact of the incident on the organization’s systems, information, and business. The incident response plan should be designed to prioritize incidents, enabling a rapid response for significant cybersecurity incidents or vulnerabilities. 
Describe how cybersecurity incident response is categorized and prioritized, and how the categorization and prioritization is consistent with response plans and criticality of systems to the enterprise. Describe the timing expectations for incident response and the process for downgrading incidents.","EEE-022: Incident Management, Response Framework and Performance Documentation
EEE-044: Security Incident and Event Management Documentation",#critical_infrastructure | #incident_management | #risk_management
116.263,RESPOND / Incident Management / Incident Escalation,RS.MA-04.01,Response activity central coordination,"RS.MA-04.01: Response activities are centrally coordinated, response progress and milestones are tracked and documented, and new incident information is assimilated into ongoing tasks, assignments, and escalations.",Yes,Yes,Yes,No,Not Applicable,,,"The organization's incident response plan should appropriately document incident response activities. Response activities should be in alignment of defined criteria and severity levels. Describe incident response policies and plans in place that outline the declaration, escalation, organization, and alignment of response activities within the organization and across relevant third parties.
Describe how the response activities are centrally coordinated. Provide information on how response progress and milestones are tracked and document. Describe how new incident information is assimilated into ongoing tasks, assignments, and escalations. ","EEE-022: Incident Management, Response Framework and Performance Documentation
EEE-044: Security Incident and Event Management Documentation",#incident_management | #information_sharing | #roles_and_responsibilities
117.264,RESPOND / Incident Management / Recovery Initiation,RS.MA-05.01,Incident severity levels and escalation,RS.MA-05.01: The organization's incident response plans define severity levels and associated criteria for initiating response plans and escalating event response to appropriate stakeholders and management levels.,Yes,Yes,Yes,Yes,To Be Assessed,,,"The incident response plans should include related information on the incident’s severity levels, and communications plans. The response plans should operate with the authority to collect and document information on the incident, assess risk, implement mitigation strategies, escalate issues when necessary, and consider any necessary changes to business practices. 
Provide information on how the organization’s incident response plan defines severity levels and associated criteria for initiating response plans. Describe reporting and escalation processes to the appropriate stakeholders and management levels.  ","EEE-022: Incident Management, Response Framework and Performance Documentation
EEE-044: Security Incident and Event Management Documentation",#incident_management | #information_sharing | #roles_and_responsibilities
119.265,RESPOND / Incident Analysis / Incident Analysis & Root Cause Determination,RS.AN-03.01,Incident investigation and root cause determination,"RS.AN-03.01: The organization performs a thorough investigation to determine the nature and scope of an event, possible root causes, and the potential damage inflicted.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The organization should review the impact of the cybersecurity incident, as analyzing the impact helps organizations align and prioritize resources to risks. 
Describe how the organization performs thorough investigations in order to determine the nature and scope of an event, possible root causes, and the potential damage inflicted. Provide information on any functional teams in place and their roles and responsibilities. Functional teams may include forensics and root cause analysis teams, among others. ","EEE-028: Investigation and Forensic Documentation
EEE-070: Incident Management and Forensic Training Documents
EEE-081: Incident Analysis and Triage Process Documentation
EEE-082: Forensic Data Security and Impact Assessment Documentation
EEE-088: Incident Management Role and Training Documentation",#forensics | #incident_management | #lessons_learned | #root_cause_analysis
120.266,RESPOND / Incident Analysis / Investigation Documentation,RS.AN-06.01,Incident investigation and evidence collection,"RS.AN-06.01: The organization establishes a risk-based approach and procedures for quarantining systems, conducting investigations, and collecting and preserving evidence per best practices and forensic standards.",Yes,Yes,Yes,No,Not Applicable,,,"Organizations should assist in or conduct forensic investigations of cybersecurity incidents. Describe the risk-based approach and procedures implemented for quarantining systems, conducting investigations, and collecting and preserving evidence. Provide information on how procedures are aligned to best practices and forensic standards. Provide information on the forensics function and processes related to investigations and engineering of protective and detective controls. 
Organizations may outsource security investigations and forensic analysis to skilled and qualified third parties. If the organization outsources such investigations, it should have an appropriate due diligence process in place to ensure any third party is fully qualified to perform the services contracted.","EEE-028: Investigation and Forensic Documentation
EEE-070: Incident Management and Forensic Training Documents
EEE-081: Incident Analysis and Triage Process Documentation
EEE-082: Forensic Data Security and Impact Assessment Documentation",#forensics | #incident_management | #infrastructure_security | #network_segmentation | #risk_management | #root_cause_analysis
121.267,RESPOND / Incident Analysis / Incident Data Collection & Preservation,RS.AN-07.01,Forensic evidence protection,"RS.AN-07.01: Incident-related forensic data is captured, secured, and preserved in a manner supporting integrity, provenance, and evidentiary value.",Yes,Yes,Yes,No,Not Applicable,,,"As referenced in RS.AN-03.01, the organization performs thorough investigations in order to determine the nature of a cyber-event, its extent, and the damage inflicted. Forensic analysis should be performed by qualified staff or third parties. Describe how incident-related forensic data is captured, secured, and preserved in a manner supporting integrity, provenance, and evidentiary value. Provide information of policies, standards, and procedures established to achieve this requirement. 
Provide information on any functional teams in place and their roles and responsibilities. Functional teams may include forensics and root cause analysis teams, among others.","EEE-028: Investigation and Forensic Documentation
EEE-070: Incident Management and Forensic Training Documents
EEE-081: Incident Analysis and Triage Process Documentation
EEE-082: Forensic Data Security and Impact Assessment Documentation",#forensics | #incident_management | #root_cause_analysis
122.268,RESPOND / Incident Analysis / Incident Magnitude Determination,RS.AN-08.01,Incident impact analysis,"RS.AN-08.01: Available incident information is assessed to determine the extent of impact to the organization and its stakeholders, the potential near- and long-term financial implications, and whether or not the incident constitutes a material event.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Organizations should have policies, standards, and processes in place to assess the impact associated with cybersecurity incidents. As referenced in DE.AE-04.01, the impact should be determined based upon their nature, extent, potential magnitude, and the range of harm such incidents could cause to the organization’s reputation, financial performance, customer relations, and impact across the financial sector. 
The organization must determine if an incident constitutes a material event to the company and its stakeholders, which has regularly reporting implications. Such determinations should be made at the most senior levels of a company, and with the advice of legal counsel and the Chief Information Security Office. Describe how available incident information is assessed to determine the extent of impact to the organization and its stakeholders, the potential near- and long-term financial implications, and the determination of incident materiality. ","EEE-022: Incident Management, Response Framework and Performance Documentation
EEE-028: Investigation and Forensic Documentation
EEE-070: Incident Management and Forensic Training Documents",#incident_management
124.269,RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.01,Incident escalation protocols,"RS.CO-02.01: The organization's incident response program includes defined and approved escalation protocols, linked to organizational decision levels and communication strategies, including which types of information will be shared, with whom (e.g., the organization's governing authority and senior management), and how information provided to the organization will be acted upon.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The organization’s incident response plan should specify which incidents must be reported, when they must be reported, and to whom based on the severity level of the incident. Parties commonly notified of cyber incidents include the CIO, head of information security, local information security officer, legal counsel, other incident response teams, and system owners, among others. 
Describe how the organization's incident response program includes defined and approved escalation protocols, linked to organizational decision levels and communication strategies, including which types of information will be shared, with whom (e.g., the organization's appropriate governing authority and senior management), and how information provided to the organization will be acted upon. Focus evidence on escalation protocols and related processes, based on the severity level of the incident.","EEE-030: Board Accountability and Cybersecurity Governance Documentation
EEE-083: Incident Escalation and Communication Protocol Documentation
EEE-088: Incident Management Role and Training Documentation",#incident_management | #information_sharing | #roles_and_responsibilities
124.270,RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.02,Incident notification and reporting,"RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The incident response program should include reporting procedures to ensure that the organization promptly reports incident information to appropriate authorities, such as primary regulators and law enforcement. The types of incident information reported, the content and timeliness of the reports, and the list of designated reporting authorities or organizations are consistent with applicable laws, directives, policies, regulations, standards and guidance. 
Describe the process the organization utilizes to notify impacted stakeholders including, as required, government bodies, self-regulatory agencies or any other supervisory bodies in the event of an incident. Provide information with a focus on stakeholders. If an incident is determined to be a material event, in the U.S., required SEC regulatory filings must be made. Describe how the organization notifies impacted stakeholders within required timeframes.","EEE-022: Incident Management, Response Framework and Performance Documentation
EEE-060: Cross-Sector Incident Response Coordination Documents
EEE-083: Incident Escalation and Communication Protocol Documentation
EEE-084: Cyber Threat Intelligence Sharing and Distribution Documents
EEE-101: Cyber Threat Intelligence Sharing Documentation",#incident_management | #information_sharing | #roles_and_responsibilities
124.271,RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.03,Incident response communication procedures,"RS.CO-02.03: The organization maintains and regularly tests incident response communication procedures, with associated contact lists, call trees, and automatic notifications, to quickly coordinate and communicate with internal and external stakeholders during or following an incident.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The organization should have policies and procedures for communicating cyber and operational incidents to internal and external stakeholders. Internal communication can occur through various methods, including communicational channels, building out contact lists, automatic notifications, among others. Testing should be performed on incident response communication procedures to ensure timely response of incidents. 
Describe testing regularly performed on incident response communication procedures to quickly coordinate and communicate with internal and external stakeholders during or following an incident. Provide information on the communications plan activities (e.g., associated contact lists, call trees, and automated notification tools).","EEE-022: Incident Management, Response Framework and Performance Documentation
EEE-044: Security Incident and Event Management Documentation
EEE-083: Incident Escalation and Communication Protocol Documentation",#incident_management | #information_sharing | #review_assessment_and_testing
125.272,RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing,RS.CO-03.01,Internal event and intelligence sharing,"RS.CO-03.01: The organization ensures that cyber threat intelligence is made available, in a secure manner, to authorized staff with responsibility for the mitigation of cyber risks at the strategic, tactical and operational levels within the organization.",Yes,Yes,Yes,No,Not Applicable,,,"Threat intelligence information should be collected and analyzed for dissemination to appropriate individuals for action. When establishing and reviewing information sharing rules, the organization should request input from legal and privacy officials, information owners, management, and other key stakeholders to ensure that cyber threat intelligence information is being shared in accordance with the organization’s policies and procedures. 
Describe how the organization ensures that cyber threat intelligence, which may include cyber incident information and sensitive organizational data as appropriate, is made available, in a secure manner, to authorized staff with responsibility for the mitigation of cyber risks at the strategic, tactical, and operational levels within the organization. Describe the roles and responsibilities related to the distribution of cyber threat intelligence.","EEE-084: Cyber Threat Intelligence Sharing and Distribution Documents
EEE-101: Cyber Threat Intelligence Sharing Documentation",#information_sharing | #threat_management
125.273,RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing,RS.CO-03.02,Incident intelligence sharing,"RS.CO-03.02: In the event of an incident, the organization shares authorized information, in a defined manner and through trusted channels, to facilitate the detection, response, resumption and recovery of its own systems and those of other partners and critical sector participants.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The organization should actively participate in information sharing organizations (i.e., the Analysis and Resilience Center for Systemic Risk (ARC), FS-ISAC, industry associations) to receive and provide external threat and vulnerability information. The organization can also establish threat intelligence sharing relationships directly with peer organizations. To protect the confidentiality and the integrity of the information, organizations should have formal information sharing agreements that document the nature of the information being shared, handling and storage, ownership, retention, and related matters. 
Describe how the organization actively participates in multilateral information-sharing arrangements to facilitate a sector-wide response to large-scale incidents. Provide information related to the sector-wide information sharing.
Describe how information is shared consistent with response plans. Describe how the organization shares authorized information, in a defined manner and through trusted channels, to facilitate the detection, response, resumption and recovery of its own systems and those of other partners and critical sector participants. ","EEE-017: Third-Party Risk Management and Communication Documents
EEE-084: Cyber Threat Intelligence Sharing and Distribution Documents
EEE-101: Cyber Threat Intelligence Sharing Documentation
EEE-106: Recovery Objectives Critical Infrastructure Documentation
EEE-107: Data Recovery and Information Flow Mapping Documentation",#disaster_recovery | #incident_management | #information_sharing
127.274,RESPOND / Incident Mitigation / Incident Containment,RS.MI-01.01,Incident containment,"RS.MI-01.01: The organization has established processes to implement vulnerability mitigation plans, involve third-party partners and outside expertise as needed, and contain incidents in a timely manner.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Describe the established processes to implement vulnerability mitigation plans, as well as validate their completion and effectiveness. Describe how the organization mitigates cybersecurity incidents in a timely manner. Provide examples.
Provide information on how mitigation plans are reviewed and agreed upon with business stakeholders. Provide information on how remediation is tested and verified. ","EEE-017: Third-Party Risk Management and Communication Documents
EEE-047: Vulnerability Management and Remediation Strategy Documentation",#incident_management | #staffing_and_resource_management | #vulnerability_management
128.275,RESPOND / Incident Mitigation / Incident Eradication,RS.MI-02.01,Incident vulnerability remediation,"RS.MI-02.01: Targeted investigations and actions are taken to ensure that all vulnerabilities, system components, devices, or remnants used or leveraged in an attack (e.g., malware, compromised accounts, open ports, etc.) are removed or otherwise returned to a secure and reliable state, or that plans to address the vulnerabilities are documented.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Organizations should have strategies and procedures for mitigation and eradication in place for a timely containment of vulnerabilities. Describe eradication processes in place. Describe how targeted investigations determine root causes of incidents and provide actionable results to ensure that all vulnerabilities are removed or otherwise returned to a secure and reliable state. 
Describe target investigations and actions taken to ensure that all vulnerabilities, system components, devices, or remnants used or leveraged in an action are removed or otherwise returned to a secure and reliable state. Provide information of documented plans to address the identified vulnerabilities. ","EEE-028: Investigation and Forensic Documentation
EEE-047: Vulnerability Management and Remediation Strategy Documentation
EEE-075: Malware and Mobile Code Defense Strategy Documents",#endpoint_security | #incident_management | #infrastructure_security | #lessons_learned | #root_cause_analysis | #vulnerability_management
131.276,RECOVER / Incident Recovery Plan Execution / Recovery Plan Execution,RC.RP-01.01,Recovery plan execution,"RC.RP-01.01: The organization executes its recovery plans, including incident recovery, disaster recovery, and business continuity plans, during or after an incident to resume operations.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The organization should have incident recovery, disaster recovery, business continuity, and data backup plans to recover operations following an incident. 
Describe how the organization executes its recovery plans, including incident recovery, disaster recovery, and business continuity plans, during or after an incident to resume operations. Provide information on trigger event and/or criteria.","EEE-061: Service Recovery and Critical Operations Resumption Documentation
EEE-078: Resilience Testing and Infrastructure Redundancy Documentation
EEE-086: Recovery Strategy and Resilience Plan Documentation
EEE-092: Business Continuity Strategy and Exercises Documentation
EEE-106: Recovery Objectives Critical Infrastructure Documentation
EEE-107: Data Recovery and Information Flow Mapping Documentation
EEE-110: Data Recovery and Integrity Assurance Documentation
EEE-111: Disaster Recovery and Validation Program Documentation",#data_backup | #disaster_recovery | #hotswap | #incident_management | #resilience
132.277,RECOVER / Incident Recovery Plan Execution / Recovery Action Performance,RC.RP-02.01,Adaptive response actions,"RC.RP-02.01: The organization's response plans are used as informed guidance to develop and manage task plans, response actions, priorities, and assignments for responding to incidents, but are adapted as necessary to address incident-specific characteristics.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Incident response plans should outline the steps to execute an incident from preparation, detection and analysis, containment, eradication, and recovery. Describe how the organization’s response plan is used as informed guidance to develop and manage incident-specific task plans and response activities. Describe how response activities are prioritized in accordance with the organization’s response plans. Provide information of defined roles, responsibilities, and assignments for responding to incidents. Provide information on how plans, actions, priorities, and assignments are adapted as necessary to address incident-specific characteristics. ","EEE-078: Resilience Testing and Infrastructure Redundancy Documentation
EEE-086: Recovery Strategy and Resilience Plan Documentation
EEE-092: Business Continuity Strategy and Exercises Documentation",#critical_infrastructure | #disaster_recovery | #incident_management | #resilience
132.278,RECOVER / Incident Recovery Plan Execution / Recovery Action Performance,RC.RP-02.02,Recovery prioritization,"RC.RP-02.02: Recovery plans are executed by first resuming critical services and core business functions, while minimizing any potential concurrent and widespread interruptions to interconnected entities and critical infrastructure, such as energy and telecommunications.",Yes,Yes,Yes,Yes,To Be Assessed,,,"A formal backup and recovery plan describes how critical systems are backed up and restored in the event of loss or corruption of production data. The organization should have a process in place to conduct business impact analysis to identify criticality. 
Describe how recovery plans are executed by first resuming critical services and core business functions within a defined timeframe. Describe how the plans could be executed while minimizing any potential concurrent and widespread interruptions to interconnected entities and critical infrastructure, such as energy and telecommunications (e.g., how recovery plans include communication plans with interconnected entities).","EEE-086: Recovery Strategy and Resilience Plan Documentation
EEE-092: Business Continuity Strategy and Exercises Documentation
EEE-106: Recovery Objectives Critical Infrastructure Documentation
EEE-107: Data Recovery and Information Flow Mapping Documentation
EEE-110: Data Recovery and Integrity Assurance Documentation
EEE-111: Disaster Recovery and Validation Program Documentation",#asset_inventory | #asset_management | #business_impact_analysis | #critical_infrastructure | #disaster_recovery | #resilience | #review_assessment_and_testing | #risk_management | #threat_landscape
133.279,RECOVER / Incident Recovery Plan Execution / Backup & Restoration Asset Integrity,RC.RP-03.01,Recovery backup verification,"RC.RP-03.01: Restoration steps include the verification of backups, data replications, system images, and other restoration assets prior to continued use.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Organizations should have processes to validate recovery capabilities to ensure that tools, technologies, and recovery processes are effective in the resumption of critical operations. 
Describe how the organization verifies backups, data replications, system images, and other restoration assets prior to continued use.  Provide information of restoration steps in place to restore assets and ensure they are fully functional. ","EEE-086: Recovery Strategy and Resilience Plan Documentation
EEE-110: Data Recovery and Integrity Assurance Documentation",#data_backup | #disaster_recovery | #resilience
134.280,RECOVER / Incident Recovery Plan Execution / Post-Incident Operational Norms,RC.RP-04.01,Recovery data integrity verification,"RC.RP-04.01: Restoration steps include the verification of data integrity, transaction positions, system functionality, and the operation of security controls by appropriate organizational stakeholders and system owners.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Organizations should have processes to validate recovery capabilities and ensure that tools, technologies, recovery processes, and people are effective in the resumption of critical operations. 
Describe how the organization verifies data integrity, transaction positions, and system functionality. Describe how the organization verifies the operation of security controls by appropriate organizational stakeholders and system owners. Provide information of restoration steps in place to resume operational norms.","EEE-061: Service Recovery and Critical Operations Resumption Documentation
EEE-078: Resilience Testing and Infrastructure Redundancy Documentation
EEE-086: Recovery Strategy and Resilience Plan Documentation
EEE-089: System Sanitization and Restoration Documents
EEE-110: Data Recovery and Integrity Assurance Documentation",#data_backup | #disaster_recovery | #resilience
135.281,RECOVER / Incident Recovery Plan Execution / Asset Integrity Restoration,RC.RP-05.01,Returning systems to service,"RC.RP-05.01: The organization maintains documented procedures for sanitizing, testing, authorizing, and returning systems to service following an incident or investigation.",Yes,Yes,No,No,Not Applicable,,,"Following an incident or investigation, an organization should have business continuity, recovery and/or resilience procedures in place to return systems to operational states. Provide information on procedures in place for sanitizing, testing, authorizing, and returning systems to service. For example, removing malicious code, and reimaging affected systems that were exploited. Restoration of systems should be done within defined recovery time and recovery point objectives for critical systems. ","EEE-028: Investigation and Forensic Documentation
EEE-089: System Sanitization and Restoration Documents
EEE-092: Business Continuity Strategy and Exercises Documentation
EEE-110: Data Recovery and Integrity Assurance Documentation",#asset_management | #incident_management
135.282,RECOVER / Incident Recovery Plan Execution / Asset Integrity Restoration,RC.RP-05.02,Service recovery confirmation,"RC.RP-05.02: Business, technology, cybersecurity, and relevant third-party stakeholders confirm that systems, data, and services have been returned to functional and secure states and that a stable operational status has been achieved.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Organizations should restore systems, data, and services to normal operations following an investigation or incident and verify that they have been returned to functional and secure states. 
Provide information on the involvement of business, technology, cybersecurity, and relevant third-party stakeholders to confirm that systems, data, and services have returned to a stable and secure operational status. Describe recovery processes, policies, and procedures with focus on stakeholder involvement to achieve operational states.","EEE-017: Third-Party Risk Management and Communication Documents
EEE-089: System Sanitization and Restoration Documents
EEE-092: Business Continuity Strategy and Exercises Documentation
EEE-111: Disaster Recovery and Validation Program Documentation",#asset_management | #data_protection | #disaster_recovery | #incident_management | #third_party_risk_management | #supply_chain_management
136.283,RECOVER / Incident Recovery Plan Execution / End-of-Incident Determination,RC.RP-06.01,Incident closure,"RC.RP-06.01: Incident management activities are closed under defined conditions and documentation to support subsequent post-mortem review, process improvement, and any follow-on activities is collected and verified.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Organizations should have processes for post-incident analysis to evaluate the incident response process, discuss identified gaps, minimize future impact, and discuss the closure of the relevant incident. Provide information on applicable internal and external stakeholders involved. 
Provide information on how the organization’s establishes defined conditions and documentation to provide closure of incident management activities. Provide information of the subsequent post-mortem review. Describe how the post-incident process drives process improvements and incorporate lessons learned. Describe how the organization collects and verifies any follow-on activities needed for the closure of incident management activities. ","EEE-022: Incident Management, Response Framework and Performance Documentation
EEE-028: Investigation and Forensic Documentation",#forensics | #incident_management | #lessons_learned | #root_cause_analysis
138.284,RECOVER / Incident Recovery Communication / Recovery Activity Communication,RC.CO-03.01,Recovery activity internal communications,"RC.CO-03.01: The organization timely involves and communicates the recovery activities, procedures, cyber risk management issues to the governing body (e.g., the Board or one of its committees), senior management, incident management support teams, and relevant internal stakeholders.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Describe how the organization timely involves and communicates the recovery activities, procedures, and cyber risk management issues to the appropriate governing body (e.g., the Board or one of its committees), senior management, incident management support teams, and relevant internal stakeholders.","EEE-022: Incident Management, Response Framework and Performance Documentation
EEE-030: Board Accountability and Cybersecurity Governance Documentation
EEE-106: Recovery Objectives Critical Infrastructure Documentation",#board_or_committee_oversight | #disaster_recovery | #incident_management | #information_sharing | #risk_management
138.285,RECOVER / Incident Recovery Communication / Recovery Activity Communication,RC.CO-03.02,Recovery activity external communications,"RC.CO-03.02: The organization promptly communicates the status of recovery activities to regulatory authorities and relevant external stakeholders, as required or appropriate.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Proactively sharing threat intelligence helps organizations achieve broader cybersecurity situational awareness among internal and external stakeholders. 
Describe how the status of recovery activities is promptly communicated to regulatory authorities and relevant external stakeholders, as required or appropriate.","EEE-030: Board Accountability and Cybersecurity Governance Documentation
EEE-084: Cyber Threat Intelligence Sharing and Distribution Documents
EEE-101: Cyber Threat Intelligence Sharing Documentation",#disaster_recovery | #incident_management | #information_sharing | #risk_management
139.286,RECOVER / Incident Recovery Communication / Public Information Sharing,RC.CO-04.01,Incident communications planning and coordination,"RC.CO-04.01: Pre-established communication plans and message templates, and authorized protocols, contacts, media, and communications, are used to notify and inform the public and key external stakeholders about an incident.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Proactive communication and sharing of threat intelligence help organizations achieve broader cybersecurity situational awareness among internal and external stakeholders. The organization’s management should ensure that communication plans exist for notifying appropriate parties, including regulators, peer organizations, information sharing organizations and the public. 
Describe how the organization’s management ensures that a communication plan and message templates, exists to notify the public and key external stakeholders about an incident. Provide information on the stakeholders involved and the process. Provide information on established authorized protocols, contacts, media and communications.  ","EEE-030: Board Accountability and Cybersecurity Governance Documentation
EEE-071: Customer Cybersecurity Awareness Documentation",#disaster_recovery | #incident_management | #information_sharing | #risk_management
142.287,EXTEND / Procurement Planning and Due Diligence / Procurement Planning,EX.DD-01.01,Procurement plans,"EX.DD-01.01: Documented procurement plans are developed for initiatives involving elevated business, technical, or cybersecurity risk in order to establish criteria for the evaluation and selection of a supplier, and any special requirements for organizational preparation, supplier due diligence, and contract terms.",Yes,Yes,Yes,No,Not Applicable,,,"Procurement plans, evaluation processes of potential suppliers, and contracts with third parties should integrate elevated business, technical, and cybersecurity risk considerations to ensure the organization is managing ongoing supply chain risk. Organizations should establish criteria to assess potential suppliers and perform supplier due diligence. 
Describe how the organization plans initiatives involving elevated business, technical, or cybersecurity risk and integrates it into a documented procurement plan. Describe criteria that are established for the evaluation and selection of a supplier. Provide information on how the organization develops special requirements for organizational preparation, supplier due diligence, and contract terms. ","EEE-018: Supplier Evaluation, Onboarding, and Due Diligence Documentation
EEE-019: Vendor Contract Management and Compliance Oversight Documents
EEE-097: Third-Party Risk Management Documentation",#contract_management | #due_diligence | #third_party_risk_management | #vendor_management | #supply_chain_management
142.288,EXTEND / Procurement Planning and Due Diligence / Procurement Planning,EX.DD-01.02,Procurement plan inherent risk evaluation,"EX.DD-01.02: Procurement plans address the inherent risks of the planned activity, to include the complexity of the endeavor in terms of technology, scope, and novelty, and demonstrate that the potential business and financial benefits outweigh the costs to control the anticipated risks.",Yes,Yes,No,No,Not Applicable,,,"Outsourcing to suppliers introduces inherent risks to the organization that should be addressed within the acquisition phase and procurement plan. Risk assessments can be leveraged during project planning and procurement planning to determine whether risks can be mitigated or accepted. Evaluations of inherent risk should include the complexity of the planned activities (e.g., technology, scope, novelty). 
Describe how documented procurement plans address the inherent risks of the planned activity. Provide information about how the organization addresses the complexity of the endeavor in terms of technology, scope, novelty, and other factors. Describe how the organization demonstrates that the potential business and financial benefits outweigh the costs to control the anticipated risks. Provide information of documented processes to evaluate potential business and financial benefits.  ","EEE-018: Supplier Evaluation, Onboarding, and Due Diligence Documentation
EEE-097: Third-Party Risk Management Documentation
EEE-112: System Development and Lifecycle Integrity Documentation",#contract_management | #third_party_risk_management | #vendor_management | #supply_chain_management
142.289,EXTEND / Procurement Planning and Due Diligence / Procurement Planning,EX.DD-01.03,Procurement plan resource estimation,"EX.DD-01.03: Procurement plans address expected resource requirements and procedures for ongoing management and monitoring of the selected supplier, contingency plans for supplier non-performance, and specific considerations related to contract termination (e.g., return of data).",Yes,Yes,No,No,Not Applicable,,,"The organization should establish formal processes for ongoing management and monitoring third parties. Documented procedures should be established to manage and monitor third-party relationships commensurate with the risk each third party poses to the organization. Organizations should allocate resources with the requisite knowledge and experience to manage ongoing third party risks. Procurement plans should also have a developed contingency plan or exit strategy in the event that a third-party service provider happens to breach a contract or not perform according to the service level agreements. 
Describe how procurement plans address expected resource requirements to manage ongoing third party risks. Provide information about established procedures for ongoing management and monitoring of the selected supplier. Provide information about contingency plans established for supplier non-performance. Describe processes and specific considerations related to contract termination. ","EEE-018: Supplier Evaluation, Onboarding, and Due Diligence Documentation
EEE-019: Vendor Contract Management and Compliance Oversight Documents
EEE-020: Vendor Contingency and Transition Planning Documents
EEE-025: Vendor Contingency and Risk Mitigation Documentation
EEE-097: Third-Party Risk Management Documentation",#contract_management | #third_party_risk_management | #vendor_management | #supply_chain_management
