                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages
138.284,RECOVER / Incident Recovery Communication / Recovery Activity Communication,RC.CO-03.01,Recovery activity internal communications,"RC.CO-03.01: The organization timely involves and communicates the recovery activities, procedures, cyber risk management issues to the governing body (e.g., the Board or one of its committees), senior management, incident management support teams, and relevant internal stakeholders.",EEE-030: Board Accountability and Cybersecurity Governance Documentation,"- Minutes from board meetings where cybersecurity and risk management topics are discussed, showing oversight and decision-making.
- Policies and procedures that define the roles and responsibilities of senior management in overseeing cybersecurity efforts.
- Performance metrics and reports presented to the board and senior management, demonstrating accountability for security and risk management.
- Documentation of board-approved cybersecurity strategies and initiatives.
- Records of executive training and awareness sessions on cybersecurity and risk management topics."
138.284,RECOVER / Incident Recovery Communication / Recovery Activity Communication,RC.CO-03.01,Recovery activity internal communications,"RC.CO-03.01: The organization timely involves and communicates the recovery activities, procedures, cyber risk management issues to the governing body (e.g., the Board or one of its committees), senior management, incident management support teams, and relevant internal stakeholders.",EEE-106: Recovery Objectives Critical Infrastructure Documentation,"- Documentation of recovery objectives for critical infrastructure and how these align with business continuity goals.
- Critical infrastructure analysis reports that assess the resilience and recovery capabilities of essential systems.
- Records of alignment discussions or decisions between recovery objectives and business needs.
- Audit reports evaluating the alignment of recovery objectives with the criticality of infrastructure components."
138.285,RECOVER / Incident Recovery Communication / Recovery Activity Communication,RC.CO-03.02,Recovery activity external communications,"RC.CO-03.02: The organization promptly communicates the status of recovery activities to regulatory authorities and relevant external stakeholders, as required or appropriate.",EEE-030: Board Accountability and Cybersecurity Governance Documentation,"- Minutes from board meetings where cybersecurity and risk management topics are discussed, showing oversight and decision-making.
- Policies and procedures that define the roles and responsibilities of senior management in overseeing cybersecurity efforts.
- Performance metrics and reports presented to the board and senior management, demonstrating accountability for security and risk management.
- Documentation of board-approved cybersecurity strategies and initiatives.
- Records of executive training and awareness sessions on cybersecurity and risk management topics."
138.285,RECOVER / Incident Recovery Communication / Recovery Activity Communication,RC.CO-03.02,Recovery activity external communications,"RC.CO-03.02: The organization promptly communicates the status of recovery activities to regulatory authorities and relevant external stakeholders, as required or appropriate.",EEE-084: Cyber Threat Intelligence Sharing and Distribution Documents,"- Policies and procedures for collecting, analyzing, and distributing cyber threat intelligence within the organization and with external partners.
- Agreements or memberships with threat intelligence sharing platforms or industry groups.
- Records of threat intelligence briefings or alerts issued to relevant stakeholders.
- Evaluations of the threat intelligence program, assessing its contribution to the organization's security posture."
138.285,RECOVER / Incident Recovery Communication / Recovery Activity Communication,RC.CO-03.02,Recovery activity external communications,"RC.CO-03.02: The organization promptly communicates the status of recovery activities to regulatory authorities and relevant external stakeholders, as required or appropriate.",EEE-101: Cyber Threat Intelligence Sharing Documentation,"- Cyber threat intelligence policies that outline the process for collecting, analyzing, and sharing threat information.
- Records of threat intelligence received and shared with internal stakeholders and external partners.
- Analysis reports based on threat intelligence that inform security strategies and operations.
- Training records for security analysts on threat intelligence tools and analysis techniques.
- Membership or participation records in threat intelligence sharing platforms or industry groups."
139.286,RECOVER / Incident Recovery Communication / Public Information Sharing,RC.CO-04.01,Incident communications planning and coordination,"RC.CO-04.01: Pre-established communication plans and message templates, and authorized protocols, contacts, media, and communications, are used to notify and inform the public and key external stakeholders about an incident.",EEE-030: Board Accountability and Cybersecurity Governance Documentation,"- Minutes from board meetings where cybersecurity and risk management topics are discussed, showing oversight and decision-making.
- Policies and procedures that define the roles and responsibilities of senior management in overseeing cybersecurity efforts.
- Performance metrics and reports presented to the board and senior management, demonstrating accountability for security and risk management.
- Documentation of board-approved cybersecurity strategies and initiatives.
- Records of executive training and awareness sessions on cybersecurity and risk management topics."
139.286,RECOVER / Incident Recovery Communication / Public Information Sharing,RC.CO-04.01,Incident communications planning and coordination,"RC.CO-04.01: Pre-established communication plans and message templates, and authorized protocols, contacts, media, and communications, are used to notify and inform the public and key external stakeholders about an incident.",EEE-071: Customer Cybersecurity Awareness Documentation,"- Cybersecurity awareness materials and communications distributed to customers, such as newsletters, alerts, and guidance documents.
- Records of customer-focused cybersecurity events or webinars, including topics covered and attendee feedback.
- Documentation of customer portals or platforms that provide security tips, alerts, and updates.
- Surveys or assessments measuring customer awareness and satisfaction with the organization's cybersecurity communications.
- Case studies or examples of how customer awareness initiatives have successfully mitigated security risks."
142.287,EXTEND / Procurement Planning and Due Diligence / Procurement Planning,EX.DD-01.01,Procurement plans,"EX.DD-01.01: Documented procurement plans are developed for initiatives involving elevated business, technical, or cybersecurity risk in order to establish criteria for the evaluation and selection of a supplier, and any special requirements for organizational preparation, supplier due diligence, and contract terms.","EEE-018: Supplier Evaluation, Onboarding, and Due Diligence Documentation","- Checklists and criteria used for evaluating potential suppliers, including security and resilience factors.
- Due diligence reports for key suppliers, including assessments of their financial stability and operational resilience.
- Agreements that include clauses related to ongoing monitoring and evaluation of supplier performance.
- Records of supplier selection meetings, including rationale for decisions and any identified risks.
- Supplier onboarding process documentation, highlighting security and resilience requirements."
142.287,EXTEND / Procurement Planning and Due Diligence / Procurement Planning,EX.DD-01.01,Procurement plans,"EX.DD-01.01: Documented procurement plans are developed for initiatives involving elevated business, technical, or cybersecurity risk in order to establish criteria for the evaluation and selection of a supplier, and any special requirements for organizational preparation, supplier due diligence, and contract terms.",EEE-019: Vendor Contract Management and Compliance Oversight Documents,"- Templates for contracts with vendors that include specific security and resilience requirements.
- Oversight procedures for ensuring vendors comply with contractual obligations related to security and resilience.
- Audit reports of vendor compliance with contract terms, including any corrective actions taken.
- Documentation of contract review meetings, focusing on performance and adherence to security standards.
- Change management records for contracts, detailing any amendments related to security and resilience."
142.287,EXTEND / Procurement Planning and Due Diligence / Procurement Planning,EX.DD-01.01,Procurement plans,"EX.DD-01.01: Documented procurement plans are developed for initiatives involving elevated business, technical, or cybersecurity risk in order to establish criteria for the evaluation and selection of a supplier, and any special requirements for organizational preparation, supplier due diligence, and contract terms.",EEE-097: Third-Party Risk Management Documentation,"- Third-party risk management policies that establish how vendor risks are assessed and managed.
- Oversight procedures and records of vendor performance reviews, including compliance with security requirements.
- Documentation of vendor risk assessments, including due diligence findings and mitigation measures.
- Contracts and agreements with third parties that include clauses related to risk management and security expectations.
- Training materials for staff involved in managing and overseeing third-party relationships."
142.288,EXTEND / Procurement Planning and Due Diligence / Procurement Planning,EX.DD-01.02,Procurement plan inherent risk evaluation,"EX.DD-01.02: Procurement plans address the inherent risks of the planned activity, to include the complexity of the endeavor in terms of technology, scope, and novelty, and demonstrate that the potential business and financial benefits outweigh the costs to control the anticipated risks.","EEE-018: Supplier Evaluation, Onboarding, and Due Diligence Documentation","- Checklists and criteria used for evaluating potential suppliers, including security and resilience factors.
- Due diligence reports for key suppliers, including assessments of their financial stability and operational resilience.
- Agreements that include clauses related to ongoing monitoring and evaluation of supplier performance.
- Records of supplier selection meetings, including rationale for decisions and any identified risks.
- Supplier onboarding process documentation, highlighting security and resilience requirements."
142.288,EXTEND / Procurement Planning and Due Diligence / Procurement Planning,EX.DD-01.02,Procurement plan inherent risk evaluation,"EX.DD-01.02: Procurement plans address the inherent risks of the planned activity, to include the complexity of the endeavor in terms of technology, scope, and novelty, and demonstrate that the potential business and financial benefits outweigh the costs to control the anticipated risks.",EEE-097: Third-Party Risk Management Documentation,"- Third-party risk management policies that establish how vendor risks are assessed and managed.
- Oversight procedures and records of vendor performance reviews, including compliance with security requirements.
- Documentation of vendor risk assessments, including due diligence findings and mitigation measures.
- Contracts and agreements with third parties that include clauses related to risk management and security expectations.
- Training materials for staff involved in managing and overseeing third-party relationships."
142.288,EXTEND / Procurement Planning and Due Diligence / Procurement Planning,EX.DD-01.02,Procurement plan inherent risk evaluation,"EX.DD-01.02: Procurement plans address the inherent risks of the planned activity, to include the complexity of the endeavor in terms of technology, scope, and novelty, and demonstrate that the potential business and financial benefits outweigh the costs to control the anticipated risks.",EEE-112: System Development and Lifecycle Integrity Documentation,"- System development lifecycle (SDLC) policies and procedures that ensure integrity throughout the development process.
- Documentation of code reviews, testing results, and quality assurance measures taken during development.
- Version control records and release notes for software development projects.
- Training records for developers on secure coding practices and lifecycle management.
- Audit reports evaluating the adherence to SDLC processes and the integrity of development practices.
- Application Security standard, policies, procedures"
142.289,EXTEND / Procurement Planning and Due Diligence / Procurement Planning,EX.DD-01.03,Procurement plan resource estimation,"EX.DD-01.03: Procurement plans address expected resource requirements and procedures for ongoing management and monitoring of the selected supplier, contingency plans for supplier non-performance, and specific considerations related to contract termination (e.g., return of data).","EEE-018: Supplier Evaluation, Onboarding, and Due Diligence Documentation","- Checklists and criteria used for evaluating potential suppliers, including security and resilience factors.
- Due diligence reports for key suppliers, including assessments of their financial stability and operational resilience.
- Agreements that include clauses related to ongoing monitoring and evaluation of supplier performance.
- Records of supplier selection meetings, including rationale for decisions and any identified risks.
- Supplier onboarding process documentation, highlighting security and resilience requirements."
142.289,EXTEND / Procurement Planning and Due Diligence / Procurement Planning,EX.DD-01.03,Procurement plan resource estimation,"EX.DD-01.03: Procurement plans address expected resource requirements and procedures for ongoing management and monitoring of the selected supplier, contingency plans for supplier non-performance, and specific considerations related to contract termination (e.g., return of data).",EEE-019: Vendor Contract Management and Compliance Oversight Documents,"- Templates for contracts with vendors that include specific security and resilience requirements.
- Oversight procedures for ensuring vendors comply with contractual obligations related to security and resilience.
- Audit reports of vendor compliance with contract terms, including any corrective actions taken.
- Documentation of contract review meetings, focusing on performance and adherence to security standards.
- Change management records for contracts, detailing any amendments related to security and resilience."
142.289,EXTEND / Procurement Planning and Due Diligence / Procurement Planning,EX.DD-01.03,Procurement plan resource estimation,"EX.DD-01.03: Procurement plans address expected resource requirements and procedures for ongoing management and monitoring of the selected supplier, contingency plans for supplier non-performance, and specific considerations related to contract termination (e.g., return of data).",EEE-020: Vendor Contingency and Transition Planning Documents,"- Contingency plans for transitioning services in case of vendor failure, including timelines and responsibilities.
- Checklists for evaluating vendor contingency and recovery capabilities during the selection process.
- Documentation of transition exercises or drills conducted to test the effectiveness of contingency plans.
- Vendor exit strategy documents that outline procedures for terminating relationships while maintaining operational continuity.
- Records of vendor performance issues that triggered contingency or transition plans."
142.289,EXTEND / Procurement Planning and Due Diligence / Procurement Planning,EX.DD-01.03,Procurement plan resource estimation,"EX.DD-01.03: Procurement plans address expected resource requirements and procedures for ongoing management and monitoring of the selected supplier, contingency plans for supplier non-performance, and specific considerations related to contract termination (e.g., return of data).",EEE-025: Vendor Contingency and Risk Mitigation Documentation,"- Contingency plans that outline alternative solutions in case of vendor failure or service disruption.
- Risk assessments that identify potential points of failure with vendors and corresponding contingency options.
- Documentation of the evaluation and selection process for alternative vendors or solutions.
- Communication plans for engaging with alternative vendors during a contingency event.
- Test results from contingency plan exercises, demonstrating the viability of alternative solutions."
142.289,EXTEND / Procurement Planning and Due Diligence / Procurement Planning,EX.DD-01.03,Procurement plan resource estimation,"EX.DD-01.03: Procurement plans address expected resource requirements and procedures for ongoing management and monitoring of the selected supplier, contingency plans for supplier non-performance, and specific considerations related to contract termination (e.g., return of data).",EEE-097: Third-Party Risk Management Documentation,"- Third-party risk management policies that establish how vendor risks are assessed and managed.
- Oversight procedures and records of vendor performance reviews, including compliance with security requirements.
- Documentation of vendor risk assessments, including due diligence findings and mitigation measures.
- Contracts and agreements with third parties that include clauses related to risk management and security expectations.
- Training materials for staff involved in managing and overseeing third-party relationships."
143.290,EXTEND / Procurement Planning and Due Diligence / Prospective Third Party Due Diligence,EX.DD-02.01,Due diligence resource allocation,"EX.DD-02.01: The organization implements procedures, and allocates sufficient resources with the requisite knowledge and experience, to conduct third party due diligence and risk assessment consistent with the procurement plan and commensurate with level of risk, criticality, and complexity of each third-party relationship.","EEE-018: Supplier Evaluation, Onboarding, and Due Diligence Documentation","- Checklists and criteria used for evaluating potential suppliers, including security and resilience factors.
- Due diligence reports for key suppliers, including assessments of their financial stability and operational resilience.
- Agreements that include clauses related to ongoing monitoring and evaluation of supplier performance.
- Records of supplier selection meetings, including rationale for decisions and any identified risks.
- Supplier onboarding process documentation, highlighting security and resilience requirements."
143.290,EXTEND / Procurement Planning and Due Diligence / Prospective Third Party Due Diligence,EX.DD-02.01,Due diligence resource allocation,"EX.DD-02.01: The organization implements procedures, and allocates sufficient resources with the requisite knowledge and experience, to conduct third party due diligence and risk assessment consistent with the procurement plan and commensurate with level of risk, criticality, and complexity of each third-party relationship.",EEE-019: Vendor Contract Management and Compliance Oversight Documents,"- Templates for contracts with vendors that include specific security and resilience requirements.
- Oversight procedures for ensuring vendors comply with contractual obligations related to security and resilience.
- Audit reports of vendor compliance with contract terms, including any corrective actions taken.
- Documentation of contract review meetings, focusing on performance and adherence to security standards.
- Change management records for contracts, detailing any amendments related to security and resilience."
143.290,EXTEND / Procurement Planning and Due Diligence / Prospective Third Party Due Diligence,EX.DD-02.01,Due diligence resource allocation,"EX.DD-02.01: The organization implements procedures, and allocates sufficient resources with the requisite knowledge and experience, to conduct third party due diligence and risk assessment consistent with the procurement plan and commensurate with level of risk, criticality, and complexity of each third-party relationship.",EEE-097: Third-Party Risk Management Documentation,"- Third-party risk management policies that establish how vendor risks are assessed and managed.
- Oversight procedures and records of vendor performance reviews, including compliance with security requirements.
- Documentation of vendor risk assessments, including due diligence findings and mitigation measures.
- Contracts and agreements with third parties that include clauses related to risk management and security expectations.
- Training materials for staff involved in managing and overseeing third-party relationships."
143.291,EXTEND / Procurement Planning and Due Diligence / Prospective Third Party Due Diligence,EX.DD-02.02,Business proposal evaluation,"EX.DD-02.02: The organization reviews and evaluates the proposed business arrangement, to include the proposed fee structures, incentives, and penalties, proposed staff resources, viability of proposed approaches, and business terms, to ensure that products or services are being obtained at competitive and reasonable costs and terms.",EEE-019: Vendor Contract Management and Compliance Oversight Documents,"- Templates for contracts with vendors that include specific security and resilience requirements.
- Oversight procedures for ensuring vendors comply with contractual obligations related to security and resilience.
- Audit reports of vendor compliance with contract terms, including any corrective actions taken.
- Documentation of contract review meetings, focusing on performance and adherence to security standards.
- Change management records for contracts, detailing any amendments related to security and resilience."
143.291,EXTEND / Procurement Planning and Due Diligence / Prospective Third Party Due Diligence,EX.DD-02.02,Business proposal evaluation,"EX.DD-02.02: The organization reviews and evaluates the proposed business arrangement, to include the proposed fee structures, incentives, and penalties, proposed staff resources, viability of proposed approaches, and business terms, to ensure that products or services are being obtained at competitive and reasonable costs and terms.",EEE-097: Third-Party Risk Management Documentation,"- Third-party risk management policies that establish how vendor risks are assessed and managed.
- Oversight procedures and records of vendor performance reviews, including compliance with security requirements.
- Documentation of vendor risk assessments, including due diligence findings and mitigation measures.
- Contracts and agreements with third parties that include clauses related to risk management and security expectations.
- Training materials for staff involved in managing and overseeing third-party relationships."
143.292,EXTEND / Procurement Planning and Due Diligence / Prospective Third Party Due Diligence,EX.DD-02.03,Third-party business profile due diligence,"EX.DD-02.03: The organization reviews and evaluates documentation, such as financial statements, independent audit reports, pooled/shared assessments, control test reports, SEC filings, and past and pending litigation, to the extent required to determine a prospective critical third party's soundness as a business and the quality and sustainability of its internal controls.",EEE-019: Vendor Contract Management and Compliance Oversight Documents,"- Templates for contracts with vendors that include specific security and resilience requirements.
- Oversight procedures for ensuring vendors comply with contractual obligations related to security and resilience.
- Audit reports of vendor compliance with contract terms, including any corrective actions taken.
- Documentation of contract review meetings, focusing on performance and adherence to security standards.
- Change management records for contracts, detailing any amendments related to security and resilience."
143.292,EXTEND / Procurement Planning and Due Diligence / Prospective Third Party Due Diligence,EX.DD-02.03,Third-party business profile due diligence,"EX.DD-02.03: The organization reviews and evaluates documentation, such as financial statements, independent audit reports, pooled/shared assessments, control test reports, SEC filings, and past and pending litigation, to the extent required to determine a prospective critical third party's soundness as a business and the quality and sustainability of its internal controls.",EEE-097: Third-Party Risk Management Documentation,"- Third-party risk management policies that establish how vendor risks are assessed and managed.
- Oversight procedures and records of vendor performance reviews, including compliance with security requirements.
- Documentation of vendor risk assessments, including due diligence findings and mitigation measures.
- Contracts and agreements with third parties that include clauses related to risk management and security expectations.
- Training materials for staff involved in managing and overseeing third-party relationships."
143.293,EXTEND / Procurement Planning and Due Diligence / Prospective Third Party Due Diligence,EX.DD-02.04,Third-party internal controls due diligence,"EX.DD-02.04: The organization reviews and assesses the prospective third party's controls for managing its suppliers and subcontractors (fourth and nth parties), any proposed role fourth and nth parties will play in delivering the products or services, and any specific fourth- and nth-party controls or alternative arrangements the organization may require to protect its interests.",EEE-019: Vendor Contract Management and Compliance Oversight Documents,"- Templates for contracts with vendors that include specific security and resilience requirements.
- Oversight procedures for ensuring vendors comply with contractual obligations related to security and resilience.
- Audit reports of vendor compliance with contract terms, including any corrective actions taken.
- Documentation of contract review meetings, focusing on performance and adherence to security standards.
- Change management records for contracts, detailing any amendments related to security and resilience."
143.293,EXTEND / Procurement Planning and Due Diligence / Prospective Third Party Due Diligence,EX.DD-02.04,Third-party internal controls due diligence,"EX.DD-02.04: The organization reviews and assesses the prospective third party's controls for managing its suppliers and subcontractors (fourth and nth parties), any proposed role fourth and nth parties will play in delivering the products or services, and any specific fourth- and nth-party controls or alternative arrangements the organization may require to protect its interests.",EEE-097: Third-Party Risk Management Documentation,"- Third-party risk management policies that establish how vendor risks are assessed and managed.
- Oversight procedures and records of vendor performance reviews, including compliance with security requirements.
- Documentation of vendor risk assessments, including due diligence findings and mitigation measures.
- Contracts and agreements with third parties that include clauses related to risk management and security expectations.
- Training materials for staff involved in managing and overseeing third-party relationships."
144.294,EXTEND / Procurement Planning and Due Diligence / Technology &amp; Cybersecurity Risk Assessment,EX.DD-03.01,Third-party cybersecurity program due diligence,"EX.DD-03.01: The organization reviews, evaluates, and risk assesses a prospective critical third party's cybersecurity program, including its ability to identify, assess, monitor, and mitigate its cyber risks; the completeness of its policies and procedures; the strength of its technical and administrative controls; and the coverage of its internal and independent control testing programs.","EEE-018: Supplier Evaluation, Onboarding, and Due Diligence Documentation","- Checklists and criteria used for evaluating potential suppliers, including security and resilience factors.
- Due diligence reports for key suppliers, including assessments of their financial stability and operational resilience.
- Agreements that include clauses related to ongoing monitoring and evaluation of supplier performance.
- Records of supplier selection meetings, including rationale for decisions and any identified risks.
- Supplier onboarding process documentation, highlighting security and resilience requirements."
144.294,EXTEND / Procurement Planning and Due Diligence / Technology &amp; Cybersecurity Risk Assessment,EX.DD-03.01,Third-party cybersecurity program due diligence,"EX.DD-03.01: The organization reviews, evaluates, and risk assesses a prospective critical third party's cybersecurity program, including its ability to identify, assess, monitor, and mitigate its cyber risks; the completeness of its policies and procedures; the strength of its technical and administrative controls; and the coverage of its internal and independent control testing programs.",EEE-021: Third-Party Cybersecurity and Continuity Assessment Documentation,"- Reports from cybersecurity assessments conducted on third-party vendors, including findings and recommendations.
- Third-party business continuity plans that detail recovery strategies and objectives relevant to services provided (or records of plan reviews).
- Agreements with third parties that include requirements for cybersecurity measures and business continuity planning.
- Documentation of joint business continuity exercises with critical vendors, including outcomes and improvements.
- Vendor cybersecurity certification records, verifying adherence to industry standards and best practices."
144.294,EXTEND / Procurement Planning and Due Diligence / Technology &amp; Cybersecurity Risk Assessment,EX.DD-03.01,Third-party cybersecurity program due diligence,"EX.DD-03.01: The organization reviews, evaluates, and risk assesses a prospective critical third party's cybersecurity program, including its ability to identify, assess, monitor, and mitigate its cyber risks; the completeness of its policies and procedures; the strength of its technical and administrative controls; and the coverage of its internal and independent control testing programs.",EEE-026: Third-Party Termination and Decommissioning Documentation,"- Termination procedures and checklists that outline the steps for ending a relationship with a third party.
- Documentation of data retrieval or transfer processes upon termination of a third-party contract.
- Records of final account settlements and confirmations of service discontinuation.
- Technical closure reports that confirm the secure decommissioning of third-party services and systems.
- Exit interview records or final performance reviews with the third party, capturing lessons learned and final assessments."
144.294,EXTEND / Procurement Planning and Due Diligence / Technology &amp; Cybersecurity Risk Assessment,EX.DD-03.01,Third-party cybersecurity program due diligence,"EX.DD-03.01: The organization reviews, evaluates, and risk assesses a prospective critical third party's cybersecurity program, including its ability to identify, assess, monitor, and mitigate its cyber risks; the completeness of its policies and procedures; the strength of its technical and administrative controls; and the coverage of its internal and independent control testing programs.",EEE-084: Cyber Threat Intelligence Sharing and Distribution Documents,"- Policies and procedures for collecting, analyzing, and distributing cyber threat intelligence within the organization and with external partners.
- Agreements or memberships with threat intelligence sharing platforms or industry groups.
- Records of threat intelligence briefings or alerts issued to relevant stakeholders.
- Evaluations of the threat intelligence program, assessing its contribution to the organization's security posture."
144.294,EXTEND / Procurement Planning and Due Diligence / Technology &amp; Cybersecurity Risk Assessment,EX.DD-03.01,Third-party cybersecurity program due diligence,"EX.DD-03.01: The organization reviews, evaluates, and risk assesses a prospective critical third party's cybersecurity program, including its ability to identify, assess, monitor, and mitigate its cyber risks; the completeness of its policies and procedures; the strength of its technical and administrative controls; and the coverage of its internal and independent control testing programs.",EEE-097: Third-Party Risk Management Documentation,"- Third-party risk management policies that establish how vendor risks are assessed and managed.
- Oversight procedures and records of vendor performance reviews, including compliance with security requirements.
- Documentation of vendor risk assessments, including due diligence findings and mitigation measures.
- Contracts and agreements with third parties that include clauses related to risk management and security expectations.
- Training materials for staff involved in managing and overseeing third-party relationships."
144.294,EXTEND / Procurement Planning and Due Diligence / Technology &amp; Cybersecurity Risk Assessment,EX.DD-03.01,Third-party cybersecurity program due diligence,"EX.DD-03.01: The organization reviews, evaluates, and risk assesses a prospective critical third party's cybersecurity program, including its ability to identify, assess, monitor, and mitigate its cyber risks; the completeness of its policies and procedures; the strength of its technical and administrative controls; and the coverage of its internal and independent control testing programs.",EEE-101: Cyber Threat Intelligence Sharing Documentation,"- Cyber threat intelligence policies that outline the process for collecting, analyzing, and sharing threat information.
- Records of threat intelligence received and shared with internal stakeholders and external partners.
- Analysis reports based on threat intelligence that inform security strategies and operations.
- Training records for security analysts on threat intelligence tools and analysis techniques.
- Membership or participation records in threat intelligence sharing platforms or industry groups."
144.295,EXTEND / Procurement Planning and Due Diligence / Technology &amp; Cybersecurity Risk Assessment,EX.DD-03.02,Third-party business continuity program due diligence,"EX.DD-03.02: The organization reviews, evaluates, and risk assesses a prospective critical third party's business continuity program, to include business impact analyses, risk assessments, continuity plans, disaster recovery plans, technology resilience architecture, and response and recovery plans, test plans, and test results.","EEE-018: Supplier Evaluation, Onboarding, and Due Diligence Documentation","- Checklists and criteria used for evaluating potential suppliers, including security and resilience factors.
- Due diligence reports for key suppliers, including assessments of their financial stability and operational resilience.
- Agreements that include clauses related to ongoing monitoring and evaluation of supplier performance.
- Records of supplier selection meetings, including rationale for decisions and any identified risks.
- Supplier onboarding process documentation, highlighting security and resilience requirements."
144.295,EXTEND / Procurement Planning and Due Diligence / Technology &amp; Cybersecurity Risk Assessment,EX.DD-03.02,Third-party business continuity program due diligence,"EX.DD-03.02: The organization reviews, evaluates, and risk assesses a prospective critical third party's business continuity program, to include business impact analyses, risk assessments, continuity plans, disaster recovery plans, technology resilience architecture, and response and recovery plans, test plans, and test results.",EEE-021: Third-Party Cybersecurity and Continuity Assessment Documentation,"- Reports from cybersecurity assessments conducted on third-party vendors, including findings and recommendations.
- Third-party business continuity plans that detail recovery strategies and objectives relevant to services provided (or records of plan reviews).
- Agreements with third parties that include requirements for cybersecurity measures and business continuity planning.
- Documentation of joint business continuity exercises with critical vendors, including outcomes and improvements.
- Vendor cybersecurity certification records, verifying adherence to industry standards and best practices."
144.295,EXTEND / Procurement Planning and Due Diligence / Technology &amp; Cybersecurity Risk Assessment,EX.DD-03.02,Third-party business continuity program due diligence,"EX.DD-03.02: The organization reviews, evaluates, and risk assesses a prospective critical third party's business continuity program, to include business impact analyses, risk assessments, continuity plans, disaster recovery plans, technology resilience architecture, and response and recovery plans, test plans, and test results.",EEE-092: Business Continuity Strategy and Exercises Documentation,"- Integrated Business Continuity Plans (BCPs) that address various disruption scenarios, informed by Business Impact Analyses (BIAs).
- Documentation of regular BCP reviews, reflecting business changes and new insights.
- Logs from business continuity exercises, including objectives, execution, and actionable feedback.
- Aggregated stakeholder input on the effectiveness and clarity of continuity plans and exercises.
- Audit summaries evaluating the readiness and thoroughness of business continuity measures."
144.295,EXTEND / Procurement Planning and Due Diligence / Technology &amp; Cybersecurity Risk Assessment,EX.DD-03.02,Third-party business continuity program due diligence,"EX.DD-03.02: The organization reviews, evaluates, and risk assesses a prospective critical third party's business continuity program, to include business impact analyses, risk assessments, continuity plans, disaster recovery plans, technology resilience architecture, and response and recovery plans, test plans, and test results.",EEE-097: Third-Party Risk Management Documentation,"- Third-party risk management policies that establish how vendor risks are assessed and managed.
- Oversight procedures and records of vendor performance reviews, including compliance with security requirements.
- Documentation of vendor risk assessments, including due diligence findings and mitigation measures.
- Contracts and agreements with third parties that include clauses related to risk management and security expectations.
- Training materials for staff involved in managing and overseeing third-party relationships."
144.295,EXTEND / Procurement Planning and Due Diligence / Technology &amp; Cybersecurity Risk Assessment,EX.DD-03.02,Third-party business continuity program due diligence,"EX.DD-03.02: The organization reviews, evaluates, and risk assesses a prospective critical third party's business continuity program, to include business impact analyses, risk assessments, continuity plans, disaster recovery plans, technology resilience architecture, and response and recovery plans, test plans, and test results.",EEE-100: Resilience Testing and Business Impact Documentation,"- Resilience testing plans and procedures, including objectives and expected outcomes.
- Business Impact Assessment (BIA) reports that evaluate the potential effects of disruptions on business operations.
- Records of resilience testing exercises, including scenarios, execution, and lessons learned.
- Documentation of updates to resilience plans based on testing outcomes and BIA findings.
- Stakeholder feedback on the organization's resilience and the impact of potential business disruptions."
144.296,EXTEND / Procurement Planning and Due Diligence / Technology &amp; Cybersecurity Risk Assessment,EX.DD-03.03,Third-party incident response program due diligence,"EX.DD-03.03: The organization reviews, evaluates, and risk assesses a prospective critical third party's incident response program, to include monitoring and alerting capabilities, incident reporting procedures and protocols, and capabilities for event analysis, problem resolution, and forensic investigation.",EEE-017: Third-Party Risk Management and Communication Documents,"- Risk assessment reports for each critical third-party vendor, detailing potential risks and mitigation strategies.
- Communication plan templates for coordinating with third parties during incidents.
- Vendor risk management policy that outlines procedures for assessing and managing third-party risks.
- Records of third-party risk management training provided to staff responsible for vendor relations.
- Documentation of third-party performance reviews, focusing on compliance with security and resilience standards."
144.296,EXTEND / Procurement Planning and Due Diligence / Technology &amp; Cybersecurity Risk Assessment,EX.DD-03.03,Third-party incident response program due diligence,"EX.DD-03.03: The organization reviews, evaluates, and risk assesses a prospective critical third party's incident response program, to include monitoring and alerting capabilities, incident reporting procedures and protocols, and capabilities for event analysis, problem resolution, and forensic investigation.","EEE-018: Supplier Evaluation, Onboarding, and Due Diligence Documentation","- Checklists and criteria used for evaluating potential suppliers, including security and resilience factors.
- Due diligence reports for key suppliers, including assessments of their financial stability and operational resilience.
- Agreements that include clauses related to ongoing monitoring and evaluation of supplier performance.
- Records of supplier selection meetings, including rationale for decisions and any identified risks.
- Supplier onboarding process documentation, highlighting security and resilience requirements."
